DATE,SP500
2015-09-19,1974.9320000000000000
2015-09-26,1942.4100000000000000
2015-10-03,1912.2140000000000000
2015-10-10,1998.2240000000000000
2015-10-17,2014.4720000000000000
2015-10-24,2042.2060000000000000
2015-10-31,2079.2380000000000000
2015-11-07,2103.0560000000000000
2015-11-14,2060.8620000000000000
2015-11-21,2071.5240000000000000
2015-11-28,2088.6775000000000000
2015-12-05,2080.7720000000000000
2015-12-12,2050.5760000000000000
2015-12-19,2037.1720000000000000
2015-12-26,2046.3500000000000000
2016-01-02,2060.5400000000000000
2016-01-09,1976.9500000000000000
2016-01-16,1910.9600000000000000
2016-01-23,1879.1375000000000000
2016-01-30,1899.4520000000000000
2016-02-06,1910.0880000000000000
2016-02-13,1850.2740000000000000
2016-02-20,1914.5025000000000000
2016-02-27,1939.2640000000000000
2016-03-05,1978.0840000000000000
2016-03-12,1996.4080000000000000
2016-03-19,2030.5920000000000000
2016-03-26,2043.5125000000000000
2016-04-02,2057.7060000000000000
2016-04-09,2053.4940000000000000
2016-04-16,2069.9280000000000000
2016-04-23,2096.1200000000000000
2016-04-30,2083.1500000000000000
2016-05-07,2060.7380000000000000
2016-05-14,2063.6520000000000000
2016-05-21,2050.7720000000000000
2016-05-28,2080.7600000000000000
2016-06-04,2100.1700000000000000
2016-06-11,2110.4420000000000000
2016-06-18,2075.0180000000000000
2016-06-25,2081.6660000000000000
2016-07-02,2061.8420000000000000
2016-07-09,2104.0200000000000000
2016-07-16,2153.4440000000000000
2016-07-23,2168.7780000000000000
2016-07-30,2169.5800000000000000
2016-08-06,2167.7560000000000000
2016-08-13,2181.5920000000000000
2016-08-20,2184.2820000000000000
2016-08-27,2177.2980000000000000
2016-09-03,2175.6580000000000000
2016-09-10,2170.4375000000000000
2016-09-17,2139.6500000000000000
2016-09-24,2156.7740000000000000
2016-10-01,2159.3600000000000000
2016-10-08,2157.1860000000000000
2016-10-15,2141.0200000000000000
2016-10-22,2138.5780000000000000
2016-10-29,2138.6740000000000000
2016-11-05,2101.9300000000000000
2016-11-12,2153.2540000000000000
2016-11-19,2178.1100000000000000
2016-11-26,2204.7975000000000000
2016-12-03,2197.6440000000000000
2016-12-10,2232.8020000000000000
2016-12-17,2260.4120000000000000
2016-12-24,2264.6440000000000000
2016-12-31,2251.7225000000000000
2017-01-07,2268.6400000000000000
2017-01-14,2271.6400000000000000
2017-01-21,2268.6950000000000000
2017-01-28,2287.0020000000000000
2017-02-04,2283.5180000000000000
2017-02-11,2300.8560000000000000
2017-02-18,2342.6920000000000000
2017-02-25,2364.8375000000000000
2017-03-04,2378.8780000000000000
2017-03-11,2368.8300000000000000
2017-03-18,2376.7620000000000000
2017-03-25,2351.1760000000000000
2017-04-01,2358.4140000000000000
2017-04-08,2356.9960000000000000
2017-04-15,2346.2050000000000000
2017-04-22,2346.7800000000000000
2017-04-29,2384.6360000000000000
2017-05-06,2391.2880000000000000
2017-05-13,2396.2540000000000000
2017-05-20,2381.4940000000000000
2017-05-27,2405.5440000000000000
2017-06-03,2423.4600000000000000
2017-06-10,2432.8260000000000000
2017-06-17,2434.6540000000000000
2017-06-24,2439.7800000000000000
2017-07-01,2428.4500000000000000
2017-07-08,2424.1200000000000000
2017-07-15,2440.6620000000000000
2017-07-22,2467.9140000000000000
2017-07-29,2474.4780000000000000
2017-08-05,2474.6420000000000000
2017-08-12,2461.8760000000000000
2017-08-19,2450.8240000000000000
2017-08-26,2441.3880000000000000
2017-09-02,2459.2660000000000000
2017-09-09,2462.4800000000000000
2017-09-16,2495.7620000000000000
2017-09-23,2504.3160000000000000
2017-09-30,2505.9920000000000000
2017-10-07,2540.5680000000000000
2017-10-14,2550.9420000000000000
2017-10-21,2563.1140000000000000
2017-10-28,2566.5460000000000000
2017-11-04,2579.0280000000000000
2017-11-11,2588.6140000000000000
2017-11-18,2578.5640000000000000
2017-11-25,2595.1675000000000000
