DATE,DSPIC96
1990-04-01,6860.6
1990-05-01,6852.4
1990-06-01,6862.3
1990-07-01,6886.1
1990-08-01,6842.8
1990-09-01,6839.5
1990-10-01,6783.4
1990-11-01,6785.1
1990-12-01,6824.1
1991-01-01,6804.7
1991-02-01,6814.0
1991-03-01,6824.9
1991-04-01,6851.7
1991-05-01,6852.9
1991-06-01,6888.5
1991-07-01,6875.2
1991-08-01,6891.4
1991-09-01,6910.5
1991-10-01,6921.1
1991-11-01,6932.2
1991-12-01,6995.7
1992-01-01,7065.3
1992-02-01,7097.8
1992-03-01,7105.5
1992-04-01,7126.8
1992-05-01,7161.1
1992-06-01,7191.7
1992-07-01,7187.0
1992-08-01,7212.8
1992-09-01,7179.5
1992-10-01,7133.6
1992-11-01,7144.5
1992-12-01,7399.0
1993-01-01,7237.6
1993-02-01,7271.8
1993-03-01,7249.2
1993-04-01,7286.8
1993-05-01,7276.3
1993-06-01,7262.9
1993-07-01,7281.2
1993-08-01,7291.8
1993-09-01,7271.9
1993-10-01,7236.4
1993-11-01,7256.4
1993-12-01,7503.7
1994-01-01,7363.1
1994-02-01,7377.2
1994-03-01,7401.7
1994-04-01,7402.0
1994-05-01,7487.4
1994-06-01,7475.5
1994-07-01,7481.7
1994-08-01,7490.5
1994-09-01,7523.2
1994-10-01,7594.7
1994-11-01,7594.4
1994-12-01,7629.1
1995-01-01,7653.7
1995-02-01,7669.1
1995-03-01,7690.3
1995-04-01,7633.6
1995-05-01,7710.9
1995-06-01,7734.0
1995-07-01,7751.4
1995-08-01,7756.6
1995-09-01,7782.0
1995-10-01,7790.9
1995-11-01,7812.3
1995-12-01,7823.0
1996-01-01,7833.7
1996-02-01,7894.3
1996-03-01,7919.9
1996-04-01,7872.3
1996-05-01,7972.0
1996-06-01,8020.3
1996-07-01,7999.4
1996-08-01,8019.8
1996-09-01,8038.7
1996-10-01,8038.2
1996-11-01,8060.2
1996-12-01,8087.7
1997-01-01,8110.8
1997-02-01,8133.4
1997-03-01,8172.1
1997-04-01,8178.2
1997-05-01,8214.1
1997-06-01,8240.5
1997-07-01,8271.7
1997-08-01,8314.6
1997-09-01,8336.4
1997-10-01,8377.6
1997-11-01,8431.8
1997-12-01,8480.3
1998-01-01,8554.9
1998-02-01,8608.9
1998-03-01,8658.3
1998-04-01,8685.6
1998-05-01,8721.1
1998-06-01,8770.5
1998-07-01,8786.0
1998-08-01,8814.4
1998-09-01,8840.5
1998-10-01,8853.3
1998-11-01,8889.8
1998-12-01,8907.1
1999-01-01,8956.4
1999-02-01,8987.9
1999-03-01,8996.9
1999-04-01,8969.0
1999-05-01,8986.1
1999-06-01,9018.1
1999-07-01,9036.7
1999-08-01,9076.4
1999-09-01,9066.3
1999-10-01,9117.2
1999-11-01,9177.2
1999-12-01,9248.6
2000-01-01,9309.1
2000-02-01,9345.2
2000-03-01,9370.3
2000-04-01,9418.3
2000-05-01,9457.3
2000-06-01,9483.3
2000-07-01,9533.3
2000-08-01,9591.5
2000-09-01,9601.5
2000-10-01,9627.4
2000-11-01,9629.8
2000-12-01,9647.6
2001-01-01,9697.4
2001-02-01,9708.8
2001-03-01,9733.9
2001-04-01,9705.0
2001-05-01,9680.9
2001-06-01,9679.4
2001-07-01,9820.7
2001-08-01,9982.1
2001-09-01,9896.5
2001-10-01,9722.4
2001-11-01,9733.4
2001-12-01,9750.3
2002-01-01,9951.9
2002-02-01,9966.6
2002-03-01,9973.3
2002-04-01,10007.2
2002-05-01,10047.9
2002-06-01,10078.5
2002-07-01,10053.5
2002-08-01,10056.6
2002-09-01,10068.3
2002-10-01,10097.3
2002-11-01,10124.3
2002-12-01,10148.6
2003-01-01,10133.6
2003-02-01,10097.6
2003-03-01,10121.5
2003-04-01,10181.4
2003-05-01,10261.2
2003-06-01,10291.2
2003-07-01,10415.5
2003-08-01,10487.7
2003-09-01,10369.1
2003-10-01,10408.4
2003-11-01,10470.9
2003-12-01,10479.0
2004-01-01,10472.7
2004-02-01,10491.3
2004-03-01,10533.6
2004-04-01,10569.6
2004-05-01,10623.3
2004-06-01,10631.8
2004-07-01,10658.1
2004-08-01,10693.5
2004-09-01,10701.4
2004-10-01,10707.4
2004-11-01,10677.3
2004-12-01,11072.9
2005-01-01,10670.3
2005-02-01,10677.1
2005-03-01,10717.4
2005-04-01,10751.9
2005-05-01,10799.8
2005-06-01,10824.4
2005-07-01,10839.0
2005-08-01,10856.6
2005-09-01,10815.7
2005-10-01,10870.2
2005-11-01,10937.8
2005-12-01,10976.2
2006-01-01,11096.7
2006-02-01,11151.4
2006-03-01,11195.7
2006-04-01,11190.3
2006-05-01,11182.7
2006-06-01,11198.2
2006-07-01,11196.3
2006-08-01,11189.6
2006-09-01,11252.3
2006-10-01,11306.0
2006-11-01,11353.1
2006-12-01,11406.8
2007-01-01,11403.7
2007-02-01,11439.6
2007-03-01,11475.0
2007-04-01,11490.1
2007-05-01,11495.5
2007-06-01,11488.4
2007-07-01,11500.4
2007-08-01,11506.2
2007-09-01,11527.1
2007-10-01,11523.6
2007-11-01,11512.3
2007-12-01,11552.1
2008-01-01,11553.4
2008-02-01,11547.6
2008-03-01,11545.3
2008-04-01,11500.7
2008-05-01,12060.9
2008-06-01,11755.3
2008-07-01,11574.0
2008-08-01,11506.9
2008-09-01,11531.5
2008-10-01,11616.7
2008-11-01,11713.8
2008-12-01,11655.4
2009-01-01,11718.0
2009-02-01,11598.7
2009-03-01,11593.4
2009-04-01,11660.2
2009-05-01,11826.7
2009-06-01,11610.9
2009-07-01,11560.4
2009-08-01,11538.6
2009-09-01,11573.1
2009-10-01,11538.1
2009-11-01,11571.0
2009-12-01,11630.0
2010-01-01,11644.6
2010-02-01,11655.6
2010-03-01,11702.1
2010-04-01,11799.8
2010-05-01,11887.9
2010-06-01,11895.0
2010-07-01,11910.8
2010-08-01,11949.7
2010-09-01,11949.4
2010-10-01,11950.4
2010-11-01,11960.5
2010-12-01,12030.1
2011-01-01,12084.4
2011-02-01,12117.0
2011-03-01,12083.3
2011-04-01,12061.3
2011-05-01,12043.2
2011-06-01,12087.9
2011-07-01,12128.6
2011-08-01,12120.6
2011-09-01,12104.0
2011-10-01,12117.0
2011-11-01,12112.6
2011-12-01,12227.3
2012-01-01,12311.1
2012-02-01,12384.8
2012-03-01,12431.1
2012-04-01,12486.5
2012-05-01,12490.2
2012-06-01,12482.6
2012-07-01,12396.5
2012-08-01,12364.4
2012-09-01,12453.3
2012-10-01,12538.2
2012-11-01,12702.9
2012-12-01,13011.6
2013-01-01,12258.9
2013-02-01,12224.9
2013-03-01,12262.1
2013-04-01,12299.0
2013-05-01,12358.6
2013-06-01,12361.7
2013-07-01,12350.6
2013-08-01,12379.6
2013-09-01,12431.5
2013-10-01,12395.1
2013-11-01,12426.2
2013-12-01,12452.7
2014-01-01,12513.3
2014-02-01,12579.5
2014-03-01,12648.6
2014-04-01,12699.0
2014-05-01,12745.0
2014-06-01,12797.2
2014-07-01,12835.1
2014-08-01,12896.3
2014-09-01,12938.8
2014-10-01,12995.3
2014-11-01,13062.8
2014-12-01,13150.5
2015-01-01,13224.7
2015-02-01,13271.8
2015-03-01,13233.7
2015-04-01,13262.8
2015-05-01,13284.7
2015-06-01,13292.7
2015-07-01,13324.1
2015-08-01,13354.9
2015-09-01,13392.0
2015-10-01,13419.8
2015-11-01,13417.7
2015-12-01,13482.0
2016-01-01,13531.6
2016-02-01,13546.1
2016-03-01,13547.2
2016-04-01,13522.0
2016-05-01,13515.1
2016-06-01,13521.5
2016-07-01,13567.1
2016-08-01,13578.9
2016-09-01,13608.3
2016-10-01,13627.7
2016-11-01,13657.8
2016-12-01,13685.3
2017-01-01,13742.1
2017-02-01,13792.3
2017-03-01,13851.3
2017-04-01,13869.6
2017-05-01,13962.6
2017-06-01,13963.5
2017-07-01,13999.9
2017-08-01,14015.8
2017-09-01,14030.9
2017-10-01,14062.7
2017-11-01,14078.4
2017-12-01,14111.5
2018-01-01,14211.4
2018-02-01,14250.1
2018-03-01,14298.3
2018-04-01,14329.5
2018-05-01,14373.2
2018-06-01,14416.2
2018-07-01,14467.0
2018-08-01,14509.6
2018-09-01,14498.8
2018-10-01,14527.7
2018-11-01,14550.4
2018-12-01,14719.3
2019-01-01,14714.3
2019-02-01,14742.1
2019-03-01,14732.5
2019-04-01,14678.0
2019-05-01,14673.5
2019-06-01,14686.4
2019-07-01,14703.7
2019-08-01,14777.8
2019-09-01,14807.9
2019-10-01,14821.4
2019-11-01,14885.9
2019-12-01,14844.1
2020-01-01,14976.5
2020-02-01,15068.8
2020-03-01,14844.0
2020-04-01,17170.7
2020-05-01,16333.0
2020-06-01,16057.3
2020-07-01,16151.9
2020-08-01,15553.9
2020-09-01,15643.4
2020-10-01,15568.4
2020-11-01,15366.5
2020-12-01,15393.8
2021-01-01,16988.6
2021-02-01,15548.2
2021-03-01,19119.5
2021-04-01,16146.9
2021-05-01,15669.5
2021-06-01,15603.3
2021-07-01,15735.2
2021-08-01,15720.0
2021-09-01,15466.3
2021-10-01,15472.4
2021-11-01,15470.8
2021-12-01,15442.7
2022-01-01,15163.5
2022-02-01,15173.6
2022-03-01,15119.6
2022-04-01,15154.4
2022-05-01,15144.8
